EmployeeNumber,base_value,shap_feature_1,shap_value_1,shap_feature_2,shap_value_2,shap_feature_3,shap_value_3,shap_feature_4,shap_value_4,shap_feature_5,shap_value_5
494,1.401708,RelationshipSatisfaction,-0.954425,JobInvolvement,-0.915723,TrainingTimesLastYear,0.853764,YearsWithCurrManager,0.816551,MaritalStatus,0.585017
495,1.401708,JobSatisfaction,-1.387952,EnvironmentSatisfaction,-1.099487,WorkLifeBalance,-0.670023,YearsWithCurrManager,-0.639081,MonthlyIncome,-0.636514
496,1.401708,JobRole,-1.485333,TrainingTimesLastYear,-0.803652,YearsWithCurrManager,0.75471,MonthlyIncome,-0.661677,WorkLifeBalance,-0.594074
497,1.401708,DistanceFromHome,-1.216986,EnvironmentSatisfaction,-1.181686,MaritalStatus,-0.940624,StockOptionLevel,-0.649474,PercentSalaryHike,0.608615
498,1.401708,JobSatisfaction,-1.609798,WorkLifeBalance,-0.541205,Education,-0.535229,RelationshipSatisfaction,-0.522447,MonthlyIncome,-0.491356
499,1.401708,JobRole,-1.460762,income_to_dept_avg,-1.226373,Age,-0.804833,PercentSalaryHike,-0.638089,JobSatisfaction,-0.449221
500,1.401708,JobSatisfaction,-1.235793,MonthlyIncome,-0.571931,StockOptionLevel,-0.535587,TotalWorkingYears,-0.475254,WorkLifeBalance,0.473838
501,1.401708,EnvironmentSatisfaction,-1.170962,MonthlyIncome,-1.070034,Age,-0.849812,WorkLifeBalance,-0.63823,DistanceFromHome,-0.570233
502,1.401708,JobSatisfaction,-1.490018,JobInvolvement,-1.101577,burnout_proxy,1.040346,EnvironmentSatisfaction,0.964029,NumCompaniesWorked,0.851607
505,1.401708,income_to_dept_avg,-1.696917,JobSatisfaction,-1.58659,TotalWorkingYears,-0.815151,total_satisfaction,-0.635162,burnout_proxy,0.528309
507,1.401708,EnvironmentSatisfaction,-0.877563,MaritalStatus,-0.874176,StockOptionLevel,-0.784954,MonthlyIncome,-0.583319,RelationshipSatisfaction,-0.539885
508,1.401708,YearsWithCurrManager,1.005686,StockOptionLevel,-0.904723,MonthlyIncome,-0.86458,RelationshipSatisfaction,0.719499,DistanceFromHome,-0.512636
510,1.401708,JobSatisfaction,1.115642,MaritalStatus,0.670466,NumCompaniesWorked,-0.597767,StockOptionLevel,0.446856,BusinessTravel,0.44645
511,1.401708,EnvironmentSatisfaction,1.004651,MonthlyIncome,-0.942411,RelationshipSatisfaction,-0.787446,StockOptionLevel,-0.730373,JobRole,-0.622398
513,1.401708,YearsInCurrentRole,-0.859291,StockOptionLevel,-0.769055,Age,-0.740819,DistanceFromHome,-0.610632,YearsWithCurrManager,0.576416
514,1.401708,JobSatisfaction,-1.292351,burnout_proxy,0.847597,OverTime,0.833518,YearsWithCurrManager,0.660615,Age,0.648461
515,1.401708,EnvironmentSatisfaction,-0.97582,YearsWithCurrManager,-0.964995,MaritalStatus,-0.85461,StockOptionLevel,-0.766048,JobSatisfaction,0.698689
516,1.401708,EnvironmentSatisfaction,-1.196095,MaritalStatus,-0.864564,MonthlyIncome,-0.766433,TrainingTimesLastYear,-0.636729,StockOptionLevel,-0.623757
517,1.401708,DistanceFromHome,-1.109508,StockOptionLevel,-0.82939,JobSatisfaction,0.826222,MaritalStatus,-0.755059,MonthlyIncome,-0.725233
518,1.401708,RelationshipSatisfaction,-1.192911,WorkLifeBalance,0.767618,Age,-0.709256,MonthlyIncome,-0.707302,TotalWorkingYears,-0.563409
520,1.401708,income_to_dept_avg,-1.597088,EnvironmentSatisfaction,1.127556,MaritalStatus,-1.0585,YearsWithCurrManager,-0.83611,YearsInCurrentRole,-0.822239
521,1.401708,Age,-1.109851,PercentSalaryHike,-0.793084,StockOptionLevel,-0.772162,DistanceFromHome,-0.618802,WorkLifeBalance,-0.543684
522,1.401708,income_to_dept_avg,-1.575807,total_satisfaction,-1.125601,Age,-0.604164,EnvironmentSatisfaction,0.593746,JobSatisfaction,0.584282
523,1.401708,StockOptionLevel,-0.7741,MonthlyIncome,-0.772934,BusinessTravel,-0.741856,Education,-0.736845,WorkLifeBalance,-0.620459
524,1.401708,WorkLifeBalance,1.126246,promotion_stagnation,-1.047874,YearsInCurrentRole,-1.023363,YearsWithCurrManager,-0.989381,total_satisfaction,-0.969861
525,1.401708,JobSatisfaction,-1.14505,Age,-0.950092,EnvironmentSatisfaction,-0.947324,PercentSalaryHike,-0.763797,WorkLifeBalance,-0.651047
526,1.401708,JobRole,-1.07937,MonthlyIncome,-0.790015,MaritalStatus,-0.711539,Age,-0.700676,WorkLifeBalance,-0.540007
527,1.401708,JobSatisfaction,-1.516189,MonthlyIncome,-0.871732,OverTime,0.714159,burnout_proxy,0.659544,Age,0.559646
529,1.401708,StockOptionLevel,-0.989115,MonthlyIncome,-0.858255,YearsInCurrentRole,-0.857677,BusinessTravel,-0.810916,Age,-0.664195
530,1.401708,DistanceFromHome,-1.346981,EnvironmentSatisfaction,-1.182107,MonthlyIncome,-0.930964,YearsWithCurrManager,-0.754464,StockOptionLevel,-0.728212
531,1.401708,income_to_dept_avg,-1.031582,DistanceFromHome,-0.9432,MaritalStatus,-0.910573,burnout_proxy,0.583673,Age,-0.488573
532,1.401708,JobInvolvement,-1.491858,StockOptionLevel,-0.735413,TotalWorkingYears,-0.698531,income_to_dept_avg,-0.666448,TrainingTimesLastYear,0.621589
533,1.401708,TrainingTimesLastYear,-1.559859,MonthlyIncome,-0.799011,NumCompaniesWorked,-0.7334,WorkLifeBalance,-0.517315,MaritalStatus,0.497904
534,1.401708,JobInvolvement,-1.225056,DistanceFromHome,-1.031351,StockOptionLevel,-0.671058,JobSatisfaction,0.650157,promotion_stagnation,-0.629807
536,1.401708,MaritalStatus,-1.106821,YearsWithCurrManager,-0.95411,RelationshipSatisfaction,-0.802264,promotion_stagnation,-0.795022,WorkLifeBalance,-0.65232
538,1.401708,NumCompaniesWorked,1.110089,EnvironmentSatisfaction,1.055913,JobSatisfaction,0.851418,StockOptionLevel,-0.632,Age,0.543245
543,1.401708,EnvironmentSatisfaction,-1.138637,TotalWorkingYears,-0.751897,income_to_dept_avg,-0.591062,total_satisfaction,-0.549538,WorkLifeBalance,-0.516769
544,1.401708,JobSatisfaction,-1.538868,EnvironmentSatisfaction,1.053006,JobRole,-0.815056,MonthlyIncome,-0.74185,PercentSalaryHike,-0.697256
546,1.401708,income_to_dept_avg,-1.516132,JobSatisfaction,-1.453688,WorkLifeBalance,0.85307,EnvironmentSatisfaction,-0.804358,TotalWorkingYears,-0.774948
547,1.401708,EnvironmentSatisfaction,1.059946,MaritalStatus,-0.883359,MonthlyIncome,-0.561947,BusinessTravel,0.560487,YearsWithCurrManager,-0.543351
548,1.401708,JobSatisfaction,-2.04655,JobInvolvement,1.438583,total_satisfaction,-0.72699,MonthlyIncome,-0.626458,PercentSalaryHike,-0.619839
549,1.401708,income_to_dept_avg,-1.179287,total_satisfaction,-1.006818,TrainingTimesLastYear,-0.909598,NumCompaniesWorked,0.850942,WorkLifeBalance,0.64794
550,1.401708,promotion_stagnation,-0.981435,MaritalStatus,-0.951299,YearsWithCurrManager,-0.751701,TrainingTimesLastYear,-0.719027,WorkLifeBalance,0.588748
551,1.401708,EnvironmentSatisfaction,-1.086791,JobSatisfaction,-0.855411,JobRole,-0.779719,NumCompaniesWorked,-0.667881,MonthlyIncome,-0.604237
554,1.401708,DistanceFromHome,-1.025145,EnvironmentSatisfaction,0.897357,MaritalStatus,0.710116,OverTime,0.681933,burnout_proxy,0.641736
555,1.401708,JobInvolvement,1.674734,YearsWithCurrManager,0.83556,WorkLifeBalance,0.810817,BusinessTravel,0.771931,EnvironmentSatisfaction,-0.661087
556,1.401708,income_to_dept_avg,1.539829,Age,-1.196341,JobSatisfaction,-1.091266,DistanceFromHome,-0.934999,total_satisfaction,-0.868266
558,1.401708,income_to_dept_avg,-1.220511,YearsWithCurrManager,-0.836622,NumCompaniesWorked,-0.744868,promotion_stagnation,-0.628781,YearsInCurrentRole,-0.605774
560,1.401708,JobSatisfaction,-1.569144,StockOptionLevel,-0.902426,JobRole,-0.829888,MaritalStatus,-0.797935,WorkLifeBalance,0.732511
562,1.401708,JobSatisfaction,-1.341411,WorkLifeBalance,1.281578,BusinessTravel,-1.094577,MonthlyIncome,-0.633677,StockOptionLevel,-0.513945
564,1.401708,income_to_dept_avg,-1.269263,promotion_stagnation,-0.955541,WorkLifeBalance,-0.626137,Education,-0.585153,EducationField,-0.411087
565,1.401708,StockOptionLevel,0.82102,NumCompaniesWorked,0.802691,Age,0.767293,YearsWithCurrManager,0.635049,WorkLifeBalance,-0.563507
566,1.401708,EnvironmentSatisfaction,1.278054,JobSatisfaction,-1.199879,YearsWithCurrManager,0.973869,income_to_dept_avg,0.853622,TotalWorkingYears,0.48655
567,1.401708,BusinessTravel,-0.860628,NumCompaniesWorked,-0.853322,YearsWithCurrManager,-0.763322,JobSatisfaction,0.637339,WorkLifeBalance,-0.627114
568,1.401708,income_to_dept_avg,-2.023112,JobSatisfaction,-1.329918,EnvironmentSatisfaction,1.264774,Age,-0.705478,MonthlyIncome,-0.611248
569,1.401708,income_to_dept_avg,-1.589579,YearsInCurrentRole,-0.857966,Education,-0.716937,NumCompaniesWorked,-0.592339,StockOptionLevel,-0.565467
571,1.401708,JobSatisfaction,-1.655895,NumCompaniesWorked,-1.187918,BusinessTravel,-1.125006,MonthlyIncome,-0.661231,DistanceFromHome,-0.601251
573,1.401708,YearsWithCurrManager,-0.985298,TrainingTimesLastYear,-0.815747,YearsInCurrentRole,-0.797288,WorkLifeBalance,-0.625162,MonthlyIncome,0.553311
574,1.401708,JobSatisfaction,-1.361861,EnvironmentSatisfaction,1.144638,NumCompaniesWorked,0.781212,MaritalStatus,-0.757771,MonthlyIncome,-0.6323
575,1.401708,income_to_dept_avg,-2.273296,Age,-0.816756,EnvironmentSatisfaction,0.783044,NumCompaniesWorked,0.715775,DistanceFromHome,-0.626008
577,1.401708,EnvironmentSatisfaction,-1.506218,JobInvolvement,1.17052,NumCompaniesWorked,-0.761468,WorkLifeBalance,-0.695554,total_satisfaction,-0.695347
578,1.401708,Age,-1.072822,WorkLifeBalance,-0.631293,YearsWithCurrManager,0.625104,Education,-0.601488,TotalWorkingYears,-0.53176
579,1.401708,EnvironmentSatisfaction,-1.107784,StockOptionLevel,-0.680985,WorkLifeBalance,-0.658096,MonthlyIncome,-0.632872,MaritalStatus,-0.627628
580,1.401708,JobSatisfaction,-1.164453,total_satisfaction,-0.689439,PercentSalaryHike,-0.612655,StockOptionLevel,-0.589706,income_to_dept_avg,-0.426308
581,1.401708,TrainingTimesLastYear,-1.112247,MaritalStatus,-0.997662,income_to_dept_avg,-0.931051,promotion_stagnation,-0.597132,RelationshipSatisfaction,-0.553693
582,1.401708,income_to_dept_avg,-1.384909,NumCompaniesWorked,1.019759,OverTime,0.600357,DistanceFromHome,0.557551,StockOptionLevel,0.498325
584,1.401708,JobInvolvement,1.655666,EnvironmentSatisfaction,1.275397,JobSatisfaction,-0.952535,NumCompaniesWorked,0.783904,StockOptionLevel,-0.693592
585,1.401708,EnvironmentSatisfaction,-1.183667,RelationshipSatisfaction,0.665938,YearsWithCurrManager,-0.505956,WorkLifeBalance,-0.493962,NumCompaniesWorked,-0.489446
586,1.401708,JobRole,-1.153126,EnvironmentSatisfaction,-1.096649,total_satisfaction,-0.912452,promotion_stagnation,-0.649895,YearsWithCurrManager,0.604693
587,1.401708,EnvironmentSatisfaction,1.171252,YearsWithCurrManager,1.075534,JobRole,-0.823083,DistanceFromHome,0.665933,Age,0.618541
590,1.401708,burnout_proxy,0.874844,StockOptionLevel,-0.756779,MaritalStatus,-0.738978,JobSatisfaction,0.721883,DistanceFromHome,0.63355
591,1.401708,Age,-1.048311,YearsWithCurrManager,0.753902,MonthlyIncome,-0.751823,WorkLifeBalance,-0.630896,BusinessTravel,0.545381
592,1.401708,JobSatisfaction,-1.543032,BusinessTravel,-1.089017,Age,-0.744221,WorkLifeBalance,0.700285,MonthlyIncome,0.586513
593,1.401708,Age,0.861581,NumCompaniesWorked,0.745978,BusinessTravel,0.531568,WorkLifeBalance,-0.517947,MaritalStatus,0.509974
595,1.401708,JobSatisfaction,-1.157116,Education,-0.896259,MonthlyIncome,-0.604491,StockOptionLevel,-0.568384,DistanceFromHome,-0.550124
597,1.401708,income_to_dept_avg,-1.81236,EnvironmentSatisfaction,0.772725,Education,-0.712609,YearsInCurrentRole,-0.663034,TotalWorkingYears,-0.598392
599,1.401708,JobSatisfaction,-1.17446,YearsWithCurrManager,-1.035048,EnvironmentSatisfaction,-1.02149,NumCompaniesWorked,0.977931,BusinessTravel,-0.692445
600,1.401708,YearsWithCurrManager,-1.187724,DistanceFromHome,-0.967222,YearsInCurrentRole,-0.91266,MonthlyIncome,-0.596158,WorkLifeBalance,-0.517648
601,1.401708,income_to_dept_avg,-1.453635,YearsWithCurrManager,-1.174967,Age,-0.705619,promotion_stagnation,-0.557499,NumCompaniesWorked,0.538753
602,1.401708,RelationshipSatisfaction,0.746538,Age,-0.546665,BusinessTravel,0.54435,PercentSalaryHike,0.517385,WorkLifeBalance,-0.490751
604,1.401708,JobSatisfaction,-1.678798,OverTime,0.671021,MonthlyIncome,-0.633207,total_satisfaction,-0.610936,DistanceFromHome,-0.550261
605,1.401708,YearsInCurrentRole,-0.980318,EnvironmentSatisfaction,-0.764853,TrainingTimesLastYear,-0.707199,WorkLifeBalance,0.706351,Age,-0.668153
606,1.401708,EnvironmentSatisfaction,-0.818813,DistanceFromHome,-0.667027,StockOptionLevel,-0.659654,NumCompaniesWorked,-0.553417,PercentSalaryHike,-0.499548
608,1.401708,YearsWithCurrManager,0.969993,burnout_proxy,0.700182,BusinessTravel,0.683705,NumCompaniesWorked,-0.669027,OverTime,0.59102
611,1.401708,JobSatisfaction,-1.182624,EnvironmentSatisfaction,-1.064395,StockOptionLevel,-0.804681,MaritalStatus,-0.759882,MonthlyIncome,-0.501296
612,1.401708,income_to_dept_avg,-1.668574,DistanceFromHome,-1.322648,JobInvolvement,-1.045356,PercentSalaryHike,-0.997993,MaritalStatus,-0.93205
613,1.401708,JobSatisfaction,-1.422055,income_to_dept_avg,-1.369681,PercentSalaryHike,-0.792425,MaritalStatus,-0.770247,StockOptionLevel,-0.645039
614,1.401708,income_to_dept_avg,1.76025,RelationshipSatisfaction,-1.007192,burnout_proxy,0.747595,OverTime,0.720929,YearsWithCurrManager,0.704459
615,1.401708,StockOptionLevel,-1.006483,JobInvolvement,0.992319,MaritalStatus,-0.839019,JobSatisfaction,0.811861,BusinessTravel,-0.765894
616,1.401708,JobRole,-1.489178,EnvironmentSatisfaction,0.902202,DistanceFromHome,-0.834304,BusinessTravel,-0.825607,promotion_stagnation,-0.798279
618,1.401708,EnvironmentSatisfaction,1.088732,YearsWithCurrManager,0.917565,StockOptionLevel,-0.871719,MaritalStatus,-0.799344,TrainingTimesLastYear,-0.622476
620,1.401708,DistanceFromHome,-1.300526,EnvironmentSatisfaction,0.970285,RelationshipSatisfaction,-0.704983,MaritalStatus,0.555893,MonthlyIncome,-0.494044
621,1.401708,JobSatisfaction,-1.098095,EnvironmentSatisfaction,-0.966724,JobInvolvement,-0.685605,DistanceFromHome,0.544639,WorkLifeBalance,-0.514748
622,1.401708,JobInvolvement,1.34515,JobSatisfaction,-1.123898,WorkLifeBalance,1.031848,burnout_proxy,0.763279,OverTime,0.745311
623,1.401708,JobSatisfaction,-1.559425,DistanceFromHome,-1.3116,Age,-0.728397,income_to_dept_avg,-0.512517,RelationshipSatisfaction,-0.503493
624,1.401708,EnvironmentSatisfaction,1.107717,JobRole,-0.799706,income_to_dept_avg,-0.768432,TotalWorkingYears,-0.659115,Age,-0.658083
625,1.401708,income_to_dept_avg,-1.467824,YearsInCurrentRole,-0.859613,Education,-0.738823,StockOptionLevel,-0.732724,JobSatisfaction,0.722557
626,1.401708,TrainingTimesLastYear,-1.119777,EnvironmentSatisfaction,1.06653,BusinessTravel,-0.87832,MaritalStatus,-0.788119,RelationshipSatisfaction,-0.694496
630,1.401708,StockOptionLevel,-0.949845,YearsWithCurrManager,-0.93422,MaritalStatus,-0.910805,MonthlyIncome,-0.873308,EnvironmentSatisfaction,-0.780601
631,1.401708,NumCompaniesWorked,1.104677,StockOptionLevel,0.686055,EnvironmentSatisfaction,-0.673227,JobInvolvement,-0.663897,Age,0.58687
632,1.401708,JobSatisfaction,-1.188737,NumCompaniesWorked,-0.763099,BusinessTravel,0.728221,EnvironmentSatisfaction,-0.696822,StockOptionLevel,-0.648246
634,1.401708,JobRole,-0.940048,Age,-0.864528,PercentSalaryHike,-0.861216,income_to_dept_avg,-0.746198,EnvironmentSatisfaction,-0.572897
635,1.401708,DistanceFromHome,-1.458595,StockOptionLevel,-0.969565,MonthlyIncome,-0.777799,NumCompaniesWorked,0.768097,Education,-0.624187
638,1.401708,income_to_dept_avg,-1.178411,MaritalStatus,-0.87916,EnvironmentSatisfaction,-0.819311,burnout_proxy,0.721676,YearsInCurrentRole,-0.68159
639,1.401708,JobInvolvement,-1.392173,JobSatisfaction,-0.93365,StockOptionLevel,-0.825836,burnout_proxy,0.821303,OverTime,0.789862
641,1.401708,EnvironmentSatisfaction,0.844582,TrainingTimesLastYear,-0.785848,StockOptionLevel,-0.725797,MonthlyIncome,-0.692059,RelationshipSatisfaction,-0.647179
643,1.401708,EnvironmentSatisfaction,-0.988394,YearsWithCurrManager,0.972444,RelationshipSatisfaction,-0.656205,WorkLifeBalance,-0.630288,StockOptionLevel,-0.61286
644,1.401708,income_to_dept_avg,-1.446163,EnvironmentSatisfaction,0.857789,TotalWorkingYears,-0.6146,PercentSalaryHike,0.570094,promotion_stagnation,-0.555715
645,1.401708,income_to_dept_avg,1.186258,MonthlyIncome,-0.626434,promotion_stagnation,-0.590616,WorkLifeBalance,-0.529257,PercentSalaryHike,0.504086
647,1.401708,EnvironmentSatisfaction,0.907378,burnout_proxy,0.889096,OverTime,0.807614,RelationshipSatisfaction,-0.671915,Age,0.671578
648,1.401708,income_to_dept_avg,1.785349,YearsWithCurrManager,1.132985,JobSatisfaction,1.026671,StockOptionLevel,-0.760697,BusinessTravel,0.709914
649,1.401708,DistanceFromHome,-1.342357,JobSatisfaction,-1.126741,total_satisfaction,-0.811253,JobRole,-0.735119,StockOptionLevel,-0.589783
650,1.401708,WorkLifeBalance,1.541032,JobSatisfaction,1.113374,MaritalStatus,-0.927585,StockOptionLevel,0.86734,DistanceFromHome,0.75848
652,1.401708,JobSatisfaction,-1.576578,EnvironmentSatisfaction,1.357877,RelationshipSatisfaction,-0.52767,WorkLifeBalance,-0.52553,burnout_proxy,-0.390329
653,1.401708,JobInvolvement,-1.061737,EnvironmentSatisfaction,0.91568,MonthlyIncome,-0.846345,StockOptionLevel,-0.803275,MaritalStatus,-0.802106
655,1.401708,NumCompaniesWorked,-0.912879,StockOptionLevel,-0.869194,TrainingTimesLastYear,-0.676393,MaritalStatus,-0.664726,WorkLifeBalance,0.61585
656,1.401708,EnvironmentSatisfaction,-0.966818,DistanceFromHome,-0.801587,Age,-0.719856,StockOptionLevel,-0.621795,YearsWithCurrManager,0.488664
657,1.401708,EnvironmentSatisfaction,-1.419916,DistanceFromHome,-1.312943,RelationshipSatisfaction,-1.118516,TrainingTimesLastYear,0.785532,YearsWithCurrManager,0.732603
659,1.401708,JobSatisfaction,-1.285574,JobRole,-0.970434,Age,-0.760243,Education,-0.721532,DistanceFromHome,-0.56904
661,1.401708,income_to_dept_avg,-2.326538,JobSatisfaction,-1.382837,Age,-0.961813,MonthlyIncome,-0.791174,MaritalStatus,-0.646273
662,1.401708,DistanceFromHome,-1.651754,RelationshipSatisfaction,-1.203851,JobSatisfaction,0.859776,Age,-0.774484,MonthlyIncome,-0.679161
663,1.401708,EnvironmentSatisfaction,-0.987199,MonthlyIncome,-0.955188,Education,-0.848929,MaritalStatus,-0.79694,Age,-0.777434
664,1.401708,income_to_dept_avg,-1.713635,DistanceFromHome,-1.323214,EnvironmentSatisfaction,-0.942085,WorkLifeBalance,0.93872,Age,-0.733396
665,1.401708,DistanceFromHome,-1.395684,EnvironmentSatisfaction,0.959347,Education,-0.82976,MonthlyIncome,-0.79145,Age,-0.681443
666,1.401708,MaritalStatus,-0.7633,StockOptionLevel,-0.750725,MonthlyIncome,-0.709848,promotion_stagnation,-0.643192,OverTime,0.582416
667,1.401708,JobSatisfaction,0.871852,PercentSalaryHike,0.761235,MaritalStatus,-0.728117,StockOptionLevel,-0.664683,income_to_dept_avg,0.582012
669,1.401708,MaritalStatus,0.542969,WorkLifeBalance,-0.48586,StockOptionLevel,0.455403,income_to_dept_avg,-0.376788,total_satisfaction,0.356933
671,1.401708,income_to_dept_avg,-1.699792,JobSatisfaction,-1.365524,Education,-0.859927,Age,-0.770481,EnvironmentSatisfaction,-0.764061
675,1.401708,RelationshipSatisfaction,-0.879262,NumCompaniesWorked,-0.862125,PercentSalaryHike,-0.694228,EnvironmentSatisfaction,0.691819,JobRole,-0.615868
677,1.401708,NumCompaniesWorked,-0.969298,MaritalStatus,-0.807385,RelationshipSatisfaction,-0.715164,WorkLifeBalance,-0.549722,income_to_dept_avg,-0.506815
679,1.401708,JobSatisfaction,-1.291385,EnvironmentSatisfaction,0.916119,burnout_proxy,0.740335,MonthlyIncome,-0.704445,JobRole,-0.682717
680,1.401708,PercentSalaryHike,-0.911702,MaritalStatus,-0.804044,StockOptionLevel,-0.794932,YearsWithCurrManager,0.754079,BusinessTravel,0.737831
682,1.401708,DistanceFromHome,-1.216567,EnvironmentSatisfaction,-1.095209,YearsWithCurrManager,-0.787964,RelationshipSatisfaction,-0.685869,NumCompaniesWorked,0.55657
683,1.401708,DistanceFromHome,-1.171543,JobSatisfaction,-1.089545,YearsInCurrentRole,-0.829204,MonthlyIncome,-0.647537,JobRole,-0.63211
684,1.401708,EnvironmentSatisfaction,1.351675,YearsWithCurrManager,1.145611,JobSatisfaction,0.873814,DistanceFromHome,0.683231,BusinessTravel,0.657469
686,1.401708,JobSatisfaction,-1.178419,total_satisfaction,-0.948226,OverTime,0.794495,StockOptionLevel,-0.748455,Age,0.560684
689,1.401708,Age,-0.698337,YearsWithCurrManager,-0.65119,WorkLifeBalance,-0.607359,StockOptionLevel,-0.586184,income_to_dept_avg,-0.500537
690,1.401708,total_satisfaction,-0.731027,MonthlyIncome,-0.678141,TrainingTimesLastYear,-0.669177,StockOptionLevel,-0.651503,RelationshipSatisfaction,0.537809
691,1.401708,JobInvolvement,1.697031,JobSatisfaction,-1.570768,MonthlyIncome,-0.744894,YearsWithCurrManager,-0.648048,WorkLifeBalance,-0.641431
692,1.401708,JobSatisfaction,-1.296775,JobRole,-1.03589,YearsInCurrentRole,-1.030989,MaritalStatus,-0.806334,WorkLifeBalance,0.698053
698,1.401708,income_to_dept_avg,-0.982749,Education,-0.706656,StockOptionLevel,-0.696432,WorkLifeBalance,-0.4739,EnvironmentSatisfaction,-0.470848
699,1.401708,MaritalStatus,-0.936421,StockOptionLevel,-0.85034,Age,-0.541825,WorkLifeBalance,-0.460055,burnout_proxy,0.455189
700,1.401708,JobSatisfaction,-1.777359,NumCompaniesWorked,-1.187598,EnvironmentSatisfaction,0.688773,RelationshipSatisfaction,-0.688191,TrainingTimesLastYear,0.642794
701,1.401708,income_to_dept_avg,1.647152,RelationshipSatisfaction,-0.8148,burnout_proxy,0.733979,EnvironmentSatisfaction,-0.733758,OverTime,0.718378
702,1.401708,EnvironmentSatisfaction,0.737649,MaritalStatus,0.662313,burnout_proxy,0.645779,JobSatisfaction,0.598422,RelationshipSatisfaction,0.588888
704,1.401708,income_to_dept_avg,1.550459,BusinessTravel,-1.193162,YearsWithCurrManager,0.95879,StockOptionLevel,-0.803556,Age,-0.576861
705,1.401708,JobInvolvement,-1.663777,total_satisfaction,-0.987004,StockOptionLevel,-0.889806,EnvironmentSatisfaction,0.863268,JobSatisfaction,0.839505
707,1.401708,JobInvolvement,-1.216218,StockOptionLevel,-0.864141,EnvironmentSatisfaction,-0.849516,NumCompaniesWorked,-0.7249,YearsWithCurrManager,-0.474037
709,1.401708,JobSatisfaction,-1.81986,EnvironmentSatisfaction,-0.996842,Age,-0.698203,Education,-0.549225,WorkLifeBalance,-0.542599
710,1.401708,JobInvolvement,1.532856,JobSatisfaction,-1.033177,DistanceFromHome,-0.970629,MaritalStatus,-0.660479,BusinessTravel,0.605041
712,1.401708,JobInvolvement,-1.351127,RelationshipSatisfaction,-0.963174,DistanceFromHome,-0.617227,total_satisfaction,-0.506461,Age,-0.476621
714,1.401708,JobInvolvement,-1.164695,MonthlyIncome,-1.019337,MaritalStatus,-0.880374,JobSatisfaction,-0.870188,StockOptionLevel,-0.819916
715,1.401708,JobSatisfaction,-2.185451,JobInvolvement,-1.223622,EnvironmentSatisfaction,-0.893814,Age,-0.81048,RelationshipSatisfaction,0.661775
716,1.401708,JobInvolvement,-1.223353,EnvironmentSatisfaction,-0.932427,promotion_stagnation,-0.724846,YearsWithCurrManager,-0.657854,burnout_proxy,0.646485
717,1.401708,EnvironmentSatisfaction,-1.458256,JobRole,-1.372251,WorkLifeBalance,-0.430479,TrainingTimesLastYear,-0.379814,PercentSalaryHike,-0.379715
720,1.401708,YearsWithCurrManager,0.871835,EnvironmentSatisfaction,0.73992,MaritalStatus,0.54868,WorkLifeBalance,-0.462961,Age,0.43746
721,1.401708,JobRole,-1.224145,EnvironmentSatisfaction,-1.089877,YearsWithCurrManager,-0.895685,promotion_stagnation,-0.857085,RelationshipSatisfaction,0.620619
722,1.401708,JobSatisfaction,-1.237894,promotion_stagnation,-1.041547,EnvironmentSatisfaction,-0.999627,WorkLifeBalance,0.60363,RelationshipSatisfaction,-0.575157
723,1.401708,RelationshipSatisfaction,0.784142,burnout_proxy,0.714764,BusinessTravel,0.680423,StockOptionLevel,-0.645346,OverTime,0.585488
724,1.401708,JobSatisfaction,-1.48006,JobRole,-1.351791,DistanceFromHome,-1.338715,JobInvolvement,-1.141205,NumCompaniesWorked,-0.854193
725,1.401708,DistanceFromHome,-1.06827,RelationshipSatisfaction,-1.037472,promotion_stagnation,-0.696197,income_to_dept_avg,-0.470679,JobSatisfaction,0.454085
727,1.401708,JobSatisfaction,-1.282422,TrainingTimesLastYear,-1.276944,income_to_dept_avg,-0.965447,YearsSinceLastPromotion,0.57769,RelationshipSatisfaction,-0.542836
728,1.401708,EnvironmentSatisfaction,-1.288047,RelationshipSatisfaction,-0.78023,MonthlyIncome,-0.670864,WorkLifeBalance,-0.58805,DistanceFromHome,0.530926
729,1.401708,YearsInCurrentRole,-0.92781,YearsWithCurrManager,-0.880535,StockOptionLevel,-0.761438,EnvironmentSatisfaction,-0.751046,NumCompaniesWorked,0.715164
730,1.401708,income_to_dept_avg,-1.870844,JobInvolvement,-1.383141,PercentSalaryHike,-0.825423,TotalWorkingYears,-0.774317,Age,-0.454023
731,1.401708,income_to_dept_avg,-1.560136,JobSatisfaction,-1.159097,MaritalStatus,-0.830544,Education,-0.738401,WorkLifeBalance,0.503786
732,1.401708,EnvironmentSatisfaction,0.937428,Age,-0.910302,RelationshipSatisfaction,-0.88637,MonthlyIncome,-0.789666,JobSatisfaction,0.662152
733,1.401708,MaritalStatus,-1.022052,EnvironmentSatisfaction,-0.924048,StockOptionLevel,-0.828645,JobSatisfaction,0.595969,BusinessTravel,0.462031
734,1.401708,EnvironmentSatisfaction,-1.342218,income_to_dept_avg,-1.155192,YearsWithCurrManager,-0.908221,DistanceFromHome,-0.899717,Age,-0.514388
738,1.401708,EnvironmentSatisfaction,-0.852117,StockOptionLevel,-0.792179,income_to_dept_avg,-0.67367,WorkLifeBalance,-0.632267,Age,-0.549653
