EmployeeNumber,Age,Department,JobRole,MonthlyIncome,attrition_verdict,attrition_probability,risk_tier,primary_reason,reason_prob_burnout,reason_prob_compensation,reason_prob_stagnation,reason_prob_career_growth
362,32,Research & Development,Laboratory Technician,2176,No,0.013,Low,N/A,0.0182,0.9669,0.0,0.0149
363,46,Sales,Manager,16872,No,0.1634,Low,N/A,0.7492,0.2359,0.0,0.015
364,28,Research & Development,Laboratory Technician,3485,Yes,0.9742,Critical,Compensation,0.0471,0.948,0.0,0.0049
366,29,Sales,Sales Executive,6644,No,0.1529,Low,N/A,0.0264,0.9736,0.0,0.0
367,31,Research & Development,Healthcare Representative,5582,No,0.0077,Low,N/A,0.0159,0.9741,0.0,0.0099
369,25,Research & Development,Healthcare Representative,4000,No,0.0011,Low,N/A,0.0157,0.9745,0.0,0.0098
372,45,Research & Development,Healthcare Representative,13496,No,0.0049,Low,N/A,0.0899,0.9002,0.0,0.0099
373,36,Research & Development,Laboratory Technician,3210,No,0.0013,Low,N/A,0.0117,0.8895,0.0,0.0987
374,55,Research & Development,Manager,19045,No,0.0196,Low,N/A,0.1136,0.8472,0.0,0.0392
376,47,Research & Development,Manager,11849,Yes,0.9578,Critical,Burnout,0.8827,0.0824,0.0,0.0349
377,28,Research & Development,Research Scientist,2070,No,0.0037,Low,N/A,0.0537,0.9463,0.0,0.0
378,37,Sales,Sales Executive,6502,No,0.0014,Low,N/A,0.0289,0.9711,0.0,0.0
379,21,Research & Development,Research Scientist,3230,Yes,0.5707,High,Compensation,0.005,0.995,0.0,0.0
380,37,Research & Development,Research Director,13603,No,0.0003,Low,N/A,0.0938,0.8817,0.0,0.0245
381,35,Research & Development,Manager,11996,No,0.0139,Low,N/A,0.0945,0.7767,0.0,0.1288
382,38,Sales,Sales Executive,5605,No,0.0072,Low,N/A,0.0594,0.906,0.0,0.0347
384,26,Research & Development,Manufacturing Director,6397,No,0.0024,Low,N/A,0.0373,0.9478,0.0,0.0149
385,50,Research & Development,Research Director,19144,No,0.0141,Low,N/A,0.0868,0.8586,0.0,0.0546
386,53,Research & Development,Research Director,17584,No,0.0101,Low,N/A,0.7146,0.2557,0.0,0.0297
387,42,Sales,Sales Executive,4907,No,0.0061,Low,N/A,0.0224,0.8739,0.0,0.1037
388,29,Sales,Sales Executive,4554,No,0.0248,Low,N/A,0.0653,0.895,0.0,0.0397
389,55,Research & Development,Laboratory Technician,5415,No,0.0343,Low,N/A,0.0424,0.9381,0.0,0.0195
390,26,Research & Development,Healthcare Representative,4741,No,0.1567,Low,N/A,0.0353,0.9647,0.0,0.0
391,37,Research & Development,Research Scientist,2115,No,0.0004,Low,N/A,0.0348,0.9257,0.0,0.0394
392,44,Research & Development,Laboratory Technician,3161,Yes,0.9714,Critical,Burnout,0.9765,0.0235,0.0,0.0
393,38,Research & Development,Healthcare Representative,5745,No,0.0002,Low,N/A,0.0115,0.9885,0.0,0.0
394,26,Research & Development,Laboratory Technician,2373,Yes,0.9827,Critical,Compensation,0.04,0.96,0.0,0.0
395,28,Research & Development,Research Scientist,3310,No,0.0011,Low,N/A,0.0218,0.9782,0.0,0.0
396,49,Research & Development,Research Director,18665,No,0.0234,Low,N/A,0.0693,0.901,0.0,0.0298
397,36,Research & Development,Research Scientist,4485,No,0.1015,Low,N/A,0.0177,0.9129,0.0,0.0694
399,31,Sales,Sales Representative,2789,Yes,0.5377,High,Compensation,0.0348,0.9603,0.0,0.0049
401,26,Sales,Sales Executive,5828,Yes,0.7732,Critical,Compensation,0.0378,0.8929,0.0,0.0693
403,37,Research & Development,Research Scientist,2326,No,0.1565,Low,N/A,0.8646,0.1354,0.0,0.0
404,42,Sales,Sales Executive,13525,No,0.0564,Low,N/A,0.0516,0.9336,0.0,0.0148
405,18,Research & Development,Laboratory Technician,1420,Yes,0.9852,Critical,Compensation,0.0163,0.9837,0.0,0.0
406,35,Sales,Sales Executive,8020,No,0.1119,Low,N/A,0.0732,0.8971,0.0,0.0297
407,36,Research & Development,Laboratory Technician,3688,No,0.003,Low,N/A,0.0218,0.9782,0.0,0.0
408,51,Research & Development,Manufacturing Director,5482,No,0.0112,Low,N/A,0.0111,0.9839,0.0,0.0049
410,41,Sales,Manager,16015,No,0.004,Low,N/A,0.0493,0.9112,0.0,0.0395
411,18,Sales,Sales Representative,1200,Yes,0.9858,Critical,Compensation,0.0134,0.9866,0.0,0.0
412,28,Research & Development,Healthcare Representative,5661,No,0.027,Low,N/A,0.0045,0.9857,0.0,0.0098
416,31,Sales,Sales Executive,6929,No,0.0274,Low,N/A,0.0678,0.9025,0.0,0.0297
417,39,Research & Development,Healthcare Representative,9613,No,0.0006,Low,N/A,0.0657,0.7713,0.0,0.163
419,36,Research & Development,Laboratory Technician,5674,No,0.0061,Low,N/A,0.0294,0.9511,0.0,0.0196
420,32,Sales,Sales Executive,5484,No,0.042,Low,N/A,0.055,0.9254,0.0,0.0196
421,38,Research & Development,Research Director,12061,No,0.0553,Low,N/A,0.0369,0.9285,0.0,0.0346
422,58,Research & Development,Healthcare Representative,5660,No,0.001,Low,N/A,0.0703,0.9199,0.0,0.0098
423,31,Research & Development,Research Scientist,4821,No,0.0036,Low,N/A,0.0483,0.9517,0.0,0.0
424,31,Human Resources,Human Resources,6410,Yes,0.5955,High,Compensation,0.0074,0.9828,0.0,0.0098
425,45,Research & Development,Laboratory Technician,5210,No,0.0091,Low,N/A,0.0459,0.9097,0.0,0.0443
426,31,Research & Development,Research Scientist,2695,No,0.034,Low,N/A,0.9212,0.0788,0.0,0.0
428,33,Research & Development,Manager,11878,No,0.0978,Low,N/A,0.0666,0.8689,0.0,0.0645
429,39,Research & Development,Manager,17068,No,0.0022,Low,N/A,0.0955,0.8604,0.0,0.0441
430,43,Research & Development,Laboratory Technician,2455,No,0.0059,Low,N/A,0.01,0.9408,0.0,0.0492
431,49,Research & Development,Healthcare Representative,13964,No,0.0349,Low,N/A,0.0716,0.8989,0.0,0.0295
433,52,Research & Development,Research Scientist,4941,Yes,0.9469,Critical,Compensation,0.0579,0.9224,0.0,0.0197
434,27,Research & Development,Research Scientist,2478,Yes,0.9349,Critical,Burnout,0.8365,0.1635,0.0,0.0
436,32,Sales,Sales Executive,5228,No,0.0346,Low,N/A,0.0393,0.9313,0.0,0.0293
437,27,Sales,Sales Executive,4478,No,0.202,Low,N/A,0.0279,0.9721,0.0,0.0
438,31,Sales,Sales Executive,7547,No,0.0063,Low,N/A,0.0087,0.9621,0.0,0.0292
439,32,Research & Development,Research Scientist,5055,No,0.0229,Low,N/A,0.0886,0.8966,0.0,0.0148
440,28,Research & Development,Research Scientist,3464,Yes,0.9925,Critical,Burnout,0.8995,0.1005,0.0,0.0
441,30,Research & Development,Research Scientist,5775,No,0.0018,Low,N/A,0.009,0.9616,0.0,0.0294
442,31,Research & Development,Manufacturing Director,8943,No,0.0853,Low,N/A,0.044,0.8517,0.0,0.1043
444,39,Research & Development,Manager,19272,No,0.0375,Low,N/A,0.0178,0.9525,0.0,0.0297
445,39,Sales,Sales Executive,5238,Yes,0.9505,Critical,Burnout,0.9218,0.0782,0.0,0.0
446,33,Sales,Sales Executive,4682,No,0.0717,Low,N/A,0.052,0.9333,0.0,0.0147
447,47,Research & Development,Research Director,18300,No,0.0044,Low,N/A,0.0177,0.9773,0.0,0.005
448,43,Research & Development,Laboratory Technician,5257,No,0.1283,Low,N/A,0.0226,0.9679,0.0,0.0095
449,27,Sales,Sales Executive,6349,No,0.0151,Low,N/A,0.0482,0.942,0.0,0.0098
450,54,Research & Development,Research Scientist,4869,No,0.0232,Low,N/A,0.0858,0.9142,0.0,0.0
451,43,Research & Development,Healthcare Representative,9985,No,0.0336,Low,N/A,0.0851,0.8999,0.0,0.015
452,45,Research & Development,Research Scientist,3697,No,0.0027,Low,N/A,0.0402,0.94,0.0,0.0198
453,40,Sales,Sales Executive,7457,No,0.0426,Low,N/A,0.8672,0.1328,0.0,0.0
454,29,Research & Development,Laboratory Technician,2119,Yes,0.9764,Critical,Burnout,0.8199,0.1752,0.0,0.0049
455,29,Research & Development,Laboratory Technician,3983,No,0.0754,Low,N/A,0.0133,0.9867,0.0,0.0
456,30,Sales,Sales Executive,6118,No,0.0008,Low,N/A,0.0103,0.9652,0.0,0.0245
458,27,Sales,Sales Executive,6214,No,0.0162,Low,N/A,0.0272,0.9483,0.0,0.0244
460,37,Research & Development,Manufacturing Director,6347,No,0.0031,Low,N/A,0.0732,0.9268,0.0,0.0
461,38,Research & Development,Research Director,11510,No,0.0023,Low,N/A,0.0752,0.9001,0.0,0.0247
462,31,Research & Development,Manufacturing Director,7143,No,0.0299,Low,N/A,0.7849,0.2151,0.0,0.0
463,29,Sales,Sales Executive,8268,No,0.1433,Low,N/A,0.0366,0.9538,0.0,0.0096
464,35,Research & Development,Manufacturing Director,8095,No,0.0007,Low,N/A,0.0281,0.9175,0.0,0.0543
465,23,Research & Development,Research Scientist,2904,No,0.009,Low,N/A,0.0693,0.9307,0.0,0.0
466,41,Research & Development,Manufacturing Director,6032,No,0.0385,Low,N/A,0.0295,0.9705,0.0,0.0
467,47,Sales,Sales Representative,2976,No,0.3677,Medium,N/A,0.0176,0.9775,0.0,0.005
468,42,Research & Development,Research Director,15992,No,0.0066,Low,N/A,0.0392,0.9458,0.0,0.015
469,29,Sales,Sales Executive,4649,No,0.0022,Low,N/A,0.0693,0.9307,0.0,0.0
470,42,Human Resources,Human Resources,2696,No,0.0733,Low,N/A,0.0433,0.9468,0.0,0.0099
471,32,Research & Development,Laboratory Technician,2370,No,0.0277,Low,N/A,0.0222,0.9431,0.0,0.0347
473,48,Sales,Manager,12504,No,0.0378,Low,N/A,0.1208,0.8744,0.0,0.0049
474,37,Research & Development,Research Scientist,5974,No,0.0125,Low,N/A,0.0323,0.9529,0.0,0.0147
475,30,Sales,Sales Executive,4736,No,0.1239,Low,N/A,0.0623,0.9377,0.0,0.0
476,26,Sales,Sales Executive,5296,No,0.0145,Low,N/A,0.02,0.8661,0.0,0.1139
477,42,Research & Development,Healthcare Representative,6781,No,0.0021,Low,N/A,0.0266,0.9437,0.0,0.0297
478,21,Sales,Sales Representative,2174,Yes,0.992,Critical,Compensation,0.0346,0.9605,0.0,0.0049
479,36,Sales,Sales Executive,6653,No,0.0004,Low,N/A,0.0231,0.9571,0.0,0.0199
481,36,Sales,Sales Executive,9699,No,0.0503,Low,N/A,0.0372,0.854,0.0,0.1088
482,57,Research & Development,Healthcare Representative,6755,No,0.0011,Low,N/A,0.027,0.973,0.0,0.0
483,40,Research & Development,Laboratory Technician,2213,No,0.0129,Low,N/A,0.0473,0.9381,0.0,0.0146
484,21,Sales,Sales Representative,2610,No,0.0314,Low,N/A,0.0613,0.9387,0.0,0.0
485,33,Sales,Sales Representative,2851,Yes,0.981,Critical,Compensation,0.0338,0.9662,0.0,0.0
486,37,Research & Development,Laboratory Technician,3452,No,0.0307,Low,N/A,0.004,0.996,0.0,0.0
487,46,Research & Development,Manufacturing Director,5258,No,0.0211,Low,N/A,0.0089,0.9862,0.0,0.005
488,41,Sales,Sales Executive,9355,Yes,0.9541,Critical,Career Growth,0.0136,0.391,0.0,0.5954
491,50,Research & Development,Healthcare Representative,10496,No,0.0156,Low,N/A,0.0221,0.9729,0.0,0.005
492,40,Sales,Sales Executive,6380,Yes,0.9522,Critical,Compensation,0.0115,0.9836,0.0,0.0049
493,31,Research & Development,Research Scientist,2657,No,0.1021,Low,N/A,0.0305,0.9695,0.0,0.0
494,21,Sales,Sales Representative,2716,Yes,0.9638,Critical,Compensation,0.0,1.0,0.0,0.0
495,29,Research & Development,Research Scientist,2201,No,0.0084,Low,N/A,0.0196,0.9804,0.0,0.0
496,35,Research & Development,Healthcare Representative,6540,No,0.0219,Low,N/A,0.014,0.986,0.0,0.0
497,27,Research & Development,Laboratory Technician,3816,No,0.0196,Low,N/A,0.0227,0.9773,0.0,0.0
498,28,Sales,Sales Executive,5253,No,0.0152,Low,N/A,0.0282,0.9568,0.0,0.0149
499,49,Research & Development,Healthcare Representative,10965,No,0.0051,Low,N/A,0.0259,0.9643,0.0,0.0098
500,51,Sales,Sales Executive,4936,No,0.1157,Low,N/A,0.0667,0.9188,0.0,0.0146
501,36,Research & Development,Research Scientist,2543,No,0.0037,Low,N/A,0.0171,0.9829,0.0,0.0
502,34,Sales,Sales Executive,5304,Yes,0.9718,Critical,Burnout,0.9361,0.0639,0.0,0.0
505,55,Research & Development,Manager,16659,No,0.0081,Low,N/A,0.067,0.928,0.0,0.005
507,24,Sales,Sales Executive,4260,No,0.0111,Low,N/A,0.0418,0.9582,0.0,0.0
508,30,Sales,Sales Representative,2476,No,0.0935,Low,N/A,0.0085,0.9915,0.0,0.0
510,26,Research & Development,Research Scientist,3102,No,0.2845,Low,N/A,0.0215,0.9785,0.0,0.0
511,22,Research & Development,Research Scientist,2244,No,0.0397,Low,N/A,0.004,0.9911,0.0,0.0049
513,36,Sales,Sales Executive,7596,No,0.0494,Low,N/A,0.009,0.9165,0.0,0.0744
514,30,Research & Development,Research Scientist,2285,Yes,0.9825,Critical,Compensation,0.0373,0.9627,0.0,0.0
515,37,Research & Development,Laboratory Technician,3034,No,0.0325,Low,N/A,0.0677,0.9177,0.0,0.0146
516,40,Sales,Sales Executive,5715,No,0.0063,Low,N/A,0.0029,0.9772,0.0,0.0198
517,42,Research & Development,Laboratory Technician,2576,No,0.0047,Low,N/A,0.0318,0.9485,0.0,0.0198
518,37,Research & Development,Manufacturing Director,4197,No,0.2648,Low,N/A,0.8968,0.1032,0.0,0.0
520,43,Research & Development,Research Director,14336,No,0.0114,Low,N/A,0.0511,0.8749,0.0,0.074
521,40,Research & Development,Laboratory Technician,3448,No,0.0067,Low,N/A,0.0308,0.9692,0.0,0.0
522,54,Research & Development,Research Director,19406,No,0.0302,Low,N/A,0.073,0.8921,0.0,0.0348
523,34,Sales,Sales Executive,6538,No,0.0018,Low,N/A,0.0278,0.9722,0.0,0.0
524,31,Research & Development,Manufacturing Director,4306,No,0.0128,Low,N/A,0.0408,0.9149,0.0,0.0443
525,43,Research & Development,Laboratory Technician,2258,No,0.0084,Low,N/A,0.0186,0.9814,0.0,0.0
526,43,Research & Development,Healthcare Representative,4522,No,0.0022,Low,N/A,0.037,0.963,0.0,0.0
527,25,Sales,Sales Executive,4487,Yes,0.6979,High,Compensation,0.0398,0.9554,0.0,0.0049
529,37,Research & Development,Research Scientist,4449,No,0.0188,Low,N/A,0.0492,0.936,0.0,0.0148
530,31,Research & Development,Laboratory Technician,2218,No,0.0048,Low,N/A,0.0264,0.9736,0.0,0.0
531,39,Research & Development,Manager,19197,No,0.0317,Low,N/A,0.0516,0.9043,0.0,0.0442
532,56,Sales,Sales Executive,13212,No,0.0825,Low,N/A,0.1323,0.7739,0.0,0.0938
533,30,Sales,Sales Executive,6577,No,0.0269,Low,N/A,0.0126,0.9874,0.0,0.0
534,41,Sales,Sales Executive,8392,No,0.038,Low,N/A,0.0463,0.8993,0.0,0.0544
536,28,Research & Development,Laboratory Technician,4558,No,0.0072,Low,N/A,0.009,0.9712,0.0,0.0198
538,25,Research & Development,Laboratory Technician,4031,Yes,0.9287,Critical,Compensation,0.0,0.9901,0.0,0.0099
543,52,Research & Development,Manufacturing Director,7969,No,0.0223,Low,N/A,0.0209,0.9642,0.0,0.0149
544,45,Research & Development,Research Scientist,2654,No,0.004,Low,N/A,0.109,0.891,0.0,0.0
546,52,Research & Development,Manager,16555,No,0.0066,Low,N/A,0.0693,0.9207,0.0,0.01
547,42,Research & Development,Research Scientist,4556,No,0.0346,Low,N/A,0.0165,0.9835,0.0,0.0
548,30,Research & Development,Manufacturing Director,6091,No,0.0051,Low,N/A,0.0124,0.9876,0.0,0.0
549,60,Research & Development,Manager,19566,No,0.076,Low,N/A,0.1185,0.704,0.0,0.1775
550,46,Research & Development,Manufacturing Director,4810,No,0.002,Low,N/A,0.0477,0.9277,0.0,0.0246
551,42,Research & Development,Healthcare Representative,4523,No,0.0032,Low,N/A,0.0202,0.9699,0.0,0.0099
554,24,Sales,Sales Representative,3202,Yes,0.9833,Critical,Compensation,0.0323,0.9677,0.0,0.0
555,34,Sales,Sales Representative,2351,Yes,0.9664,Critical,Compensation,0.0439,0.9561,0.0,0.0
556,38,Research & Development,Laboratory Technician,1702,No,0.2472,Low,N/A,0.0844,0.9156,0.0,0.0
558,40,Sales,Manager,18041,No,0.0011,Low,N/A,0.057,0.8987,0.0,0.0443
560,26,Research & Development,Research Scientist,2886,No,0.0142,Low,N/A,0.0495,0.9505,0.0,0.0
562,30,Research & Development,Laboratory Technician,2097,No,0.0359,Low,N/A,0.0596,0.9404,0.0,0.0
564,29,Research & Development,Research Director,11935,No,0.0164,Low,N/A,0.0339,0.8867,0.0,0.0794
565,29,Research & Development,Research Scientist,2546,Yes,0.9398,Critical,Compensation,0.0092,0.9908,0.0,0.0
566,19,Human Resources,Human Resources,2564,Yes,0.9861,Critical,Compensation,0.0085,0.9915,0.0,0.0
567,30,Sales,Sales Executive,8412,No,0.0406,Low,N/A,0.0399,0.8957,0.0,0.0644
568,57,Sales,Manager,14118,No,0.0273,Low,N/A,0.0886,0.9114,0.0,0.0
569,50,Research & Development,Manager,17046,No,0.0027,Low,N/A,0.0749,0.8658,0.0,0.0593
571,30,Research & Development,Laboratory Technician,2564,No,0.0089,Low,N/A,0.0521,0.928,0.0,0.0199
573,60,Sales,Sales Executive,10266,No,0.1699,Low,N/A,0.0494,0.7233,0.0,0.2273
574,47,Research & Development,Manufacturing Director,5070,No,0.0187,Low,N/A,0.0268,0.9732,0.0,0.0
575,46,Research & Development,Research Director,17861,No,0.0584,Low,N/A,0.0895,0.9055,0.0,0.005
577,35,Research & Development,Laboratory Technician,4230,No,0.0766,Low,N/A,0.0143,0.9857,0.0,0.0
578,54,Research & Development,Laboratory Technician,3780,No,0.0468,Low,N/A,0.0128,0.9822,0.0,0.005
579,34,Research & Development,Research Scientist,2768,No,0.0035,Low,N/A,0.0173,0.9777,0.0,0.005
580,46,Sales,Sales Executive,9071,No,0.0141,Low,N/A,0.072,0.9083,0.0,0.0197
581,31,Research & Development,Manufacturing Director,10648,No,0.0016,Low,N/A,0.0568,0.8249,0.0,0.1183
582,33,Research & Development,Manager,13610,Yes,0.9694,Critical,Compensation,0.0459,0.9343,0.0,0.0198
584,33,Research & Development,Laboratory Technician,3408,Yes,0.9593,Critical,Compensation,0.0164,0.9836,0.0,0.0
585,30,Sales,Sales Representative,2983,No,0.2481,Low,N/A,0.005,0.995,0.0,0.0
586,35,Research & Development,Healthcare Representative,7632,No,0.0886,Low,N/A,0.0442,0.951,0.0,0.0049
587,31,Research & Development,Healthcare Representative,9824,Yes,0.99,Critical,Compensation,0.009,0.9811,0.0,0.0098
590,34,Human Resources,Human Resources,9950,Yes,0.9725,Critical,Compensation,0.035,0.965,0.0,0.0
591,42,Research & Development,Laboratory Technician,2093,No,0.0583,Low,N/A,0.0109,0.9792,0.0,0.0099
592,36,Sales,Sales Executive,9980,No,0.1385,Low,N/A,0.0905,0.7952,0.0,0.1143
593,22,Research & Development,Laboratory Technician,3894,Yes,0.9678,Critical,Compensation,0.0053,0.9947,0.0,0.0
595,48,Sales,Sales Executive,4051,No,0.0097,Low,N/A,0.0365,0.8893,0.0,0.0742
597,55,Sales,Manager,16835,No,0.0896,Low,N/A,0.0911,0.8102,0.0,0.0987
599,41,Sales,Sales Executive,6230,No,0.0022,Low,N/A,0.0252,0.9649,0.0,0.0099
600,35,Sales,Sales Executive,4717,No,0.0193,Low,N/A,0.022,0.8545,0.0,0.1235
601,40,Research & Development,Manufacturing Director,13237,No,0.0346,Low,N/A,0.04,0.9402,0.0,0.0198
602,39,Research & Development,Laboratory Technician,3755,No,0.2818,Low,N/A,0.01,0.985,0.0,0.005
604,31,Sales,Sales Executive,6582,No,0.0574,Low,N/A,0.0602,0.9398,0.0,0.0
605,42,Research & Development,Manufacturing Director,7406,No,0.0281,Low,N/A,0.6917,0.2493,0.0,0.059
606,45,Sales,Sales Executive,4805,No,0.0231,Low,N/A,0.0121,0.9335,0.0,0.0544
608,26,Human Resources,Human Resources,2741,Yes,0.9862,Critical,Burnout,0.9202,0.075,0.0,0.0047
611,29,Research & Development,Manufacturing Director,4262,No,0.0185,Low,N/A,0.017,0.983,0.0,0.0
612,33,Research & Development,Research Director,16184,No,0.0005,Low,N/A,0.0358,0.9196,0.0,0.0445
613,31,Sales,Manager,11557,No,0.01,Low,N/A,0.0801,0.895,0.0,0.0248
614,18,Sales,Sales Representative,1878,Yes,0.9982,Critical,Compensation,0.0213,0.9787,0.0,0.0
615,40,Sales,Sales Executive,10932,No,0.0651,Low,N/A,0.0477,0.9423,0.0,0.01
616,41,Research & Development,Healthcare Representative,6811,No,0.012,Low,N/A,0.0522,0.9083,0.0,0.0395
618,26,Sales,Sales Executive,4306,No,0.165,Low,N/A,0.0084,0.9867,0.0,0.0049
620,35,Sales,Sales Executive,4859,No,0.0153,Low,N/A,0.0119,0.9783,0.0,0.0098
621,34,Sales,Sales Executive,5337,No,0.0106,Low,N/A,0.0155,0.945,0.0,0.0395
622,26,Research & Development,Laboratory Technician,2340,Yes,0.9998,Critical,Burnout,0.901,0.099,0.0,0.0
623,37,Research & Development,Manufacturing Director,7491,No,0.0075,Low,N/A,0.0286,0.9567,0.0,0.0147
624,46,Research & Development,Healthcare Representative,10527,No,0.2006,Low,N/A,0.0785,0.9018,0.0,0.0198
625,41,Sales,Manager,16595,No,0.016,Low,N/A,0.0515,0.8592,0.0,0.0892
626,37,Sales,Sales Executive,8834,No,0.0044,Low,N/A,0.0388,0.7827,0.0,0.1785
630,52,Research & Development,Research Scientist,5577,No,0.0035,Low,N/A,0.0573,0.9181,0.0,0.0246
631,32,Sales,Sales Executive,4707,Yes,0.9245,Critical,Compensation,0.0172,0.9828,0.0,0.0
632,24,Sales,Sales Representative,2400,No,0.051,Low,N/A,0.0,1.0,0.0,0.0
634,38,Research & Development,Healthcare Representative,9824,No,0.0037,Low,N/A,0.0232,0.9274,0.0,0.0494
635,37,Research & Development,Manufacturing Director,6447,No,0.0171,Low,N/A,0.0832,0.9118,0.0,0.0049
638,49,Research & Development,Research Director,19502,No,0.0015,Low,N/A,0.0953,0.8159,0.0,0.0889
639,24,Research & Development,Research Scientist,2725,No,0.0883,Low,N/A,0.0526,0.9474,0.0,0.0
641,26,Sales,Sales Executive,6272,No,0.0112,Low,N/A,0.0286,0.9567,0.0,0.0148
643,24,Research & Development,Laboratory Technician,2127,No,0.2878,Low,N/A,0.0203,0.9748,0.0,0.0049
644,50,Human Resources,Manager,18200,No,0.1438,Low,N/A,0.0389,0.8425,0.0,0.1186
645,25,Sales,Sales Representative,2096,No,0.1739,Low,N/A,0.0148,0.9852,0.0,0.0
647,24,Research & Development,Laboratory Technician,2886,Yes,0.9757,Critical,Compensation,0.0243,0.9757,0.0,0.0
648,30,Sales,Sales Representative,2033,Yes,0.9961,Critical,Compensation,0.004,0.996,0.0,0.0
649,34,Research & Development,Research Scientist,3622,No,0.0041,Low,N/A,0.0952,0.8949,0.0,0.0098
650,31,Sales,Sales Executive,4233,Yes,0.9659,Critical,Compensation,0.0376,0.9624,0.0,0.0
652,35,Research & Development,Laboratory Technician,3681,No,0.2269,Low,N/A,0.012,0.988,0.0,0.0
653,31,Sales,Sales Executive,5460,No,0.0095,Low,N/A,0.0447,0.8863,0.0,0.069
655,27,Research & Development,Research Scientist,2187,No,0.0049,Low,N/A,0.0526,0.9426,0.0,0.0049
656,37,Sales,Sales Executive,9602,No,0.1055,Low,N/A,0.8013,0.1688,0.0,0.0299
657,20,Research & Development,Research Scientist,2836,No,0.048,Low,N/A,0.0154,0.9748,0.0,0.0098
659,42,Research & Development,Healthcare Representative,4089,No,0.0028,Low,N/A,0.021,0.9493,0.0,0.0297
661,43,Research & Development,Research Director,16627,No,0.0015,Low,N/A,0.8532,0.1468,0.0,0.0
662,38,Research & Development,Research Scientist,2619,No,0.0484,Low,N/A,0.0871,0.8982,0.0,0.0147
663,43,Research & Development,Laboratory Technician,5679,No,0.0052,Low,N/A,0.038,0.9474,0.0,0.0146
664,48,Research & Development,Manager,15402,No,0.006,Low,N/A,0.1121,0.8631,0.0,0.0248
665,44,Human Resources,Human Resources,5985,No,0.0287,Low,N/A,0.0279,0.9721,0.0,0.0
666,34,Sales,Sales Representative,2579,No,0.043,Low,N/A,0.0385,0.9615,0.0,0.0
667,27,Sales,Sales Representative,3041,Yes,0.9187,Critical,Compensation,0.0215,0.9736,0.0,0.0049
669,21,Sales,Sales Representative,3447,Yes,0.5226,High,Compensation,0.0239,0.9761,0.0,0.0
671,44,Research & Development,Manager,19513,No,0.0023,Low,N/A,0.0574,0.9426,0.0,0.0
675,22,Research & Development,Research Scientist,2773,No,0.0076,Low,N/A,0.0271,0.9729,0.0,0.0
677,33,Sales,Sales Executive,7104,No,0.0079,Low,N/A,0.019,0.981,0.0,0.0
679,32,Research & Development,Research Scientist,6322,No,0.0793,Low,N/A,0.8655,0.1345,0.0,0.0
680,30,Research & Development,Research Scientist,2083,No,0.0335,Low,N/A,0.0085,0.9915,0.0,0.0
682,53,Sales,Sales Executive,8381,No,0.0411,Low,N/A,0.0399,0.8713,0.0,0.0888
683,34,Research & Development,Research Scientist,2691,No,0.0045,Low,N/A,0.0852,0.7471,0.0,0.1677
684,45,Sales,Sales Executive,4286,Yes,0.9604,Critical,Compensation,0.012,0.9733,0.0,0.0148
686,26,Research & Development,Laboratory Technician,2659,No,0.1407,Low,N/A,0.0515,0.9485,0.0,0.0
689,37,Research & Development,Manufacturing Director,9434,No,0.0444,Low,N/A,0.0345,0.8559,0.0,0.1096
690,29,Sales,Sales Executive,5561,No,0.0157,Low,N/A,0.0448,0.9453,0.0,0.01
691,35,Research & Development,Research Scientist,6646,No,0.0121,Low,N/A,0.0085,0.9568,0.0,0.0347
692,33,Research & Development,Healthcare Representative,7725,No,0.0041,Low,N/A,0.0768,0.9085,0.0,0.0146
698,54,Human Resources,Human Resources,10725,No,0.0524,Low,N/A,0.0488,0.9215,0.0,0.0296
699,36,Research & Development,Manufacturing Director,8847,No,0.1141,Low,N/A,0.0393,0.9457,0.0,0.015
700,27,Research & Development,Research Scientist,2045,No,0.0363,Low,N/A,0.0221,0.9779,0.0,0.0
701,20,Research & Development,Research Scientist,1009,Yes,0.9566,Critical,Compensation,0.0341,0.9659,0.0,0.0
702,33,Research & Development,Research Scientist,3348,Yes,0.9708,Critical,Compensation,0.0446,0.8565,0.0,0.0988
704,35,Research & Development,Laboratory Technician,1281,No,0.0985,Low,N/A,0.0089,0.9911,0.0,0.0
705,23,Research & Development,Research Scientist,2819,No,0.024,Low,N/A,0.004,0.996,0.0,0.0
707,25,Sales,Sales Executive,4851,No,0.0049,Low,N/A,0.009,0.991,0.0,0.0
709,38,Sales,Sales Executive,4028,No,0.0027,Low,N/A,0.005,0.9852,0.0,0.0098
710,29,Research & Development,Research Scientist,2720,No,0.0076,Low,N/A,0.0354,0.8659,0.0,0.0987
712,48,Sales,Sales Executive,8120,No,0.0083,Low,N/A,0.0213,0.9688,0.0,0.0099
714,27,Sales,Sales Executive,4647,No,0.0018,Low,N/A,0.0534,0.9466,0.0,0.0
715,37,Research & Development,Research Scientist,4680,No,0.012,Low,N/A,0.007,0.993,0.0,0.0
716,50,Research & Development,Laboratory Technician,3221,No,0.0106,Low,N/A,0.0852,0.905,0.0,0.0099
717,34,Research & Development,Healthcare Representative,8621,No,0.0461,Low,N/A,0.0159,0.8752,0.0,0.1089
720,24,Sales,Sales Executive,4577,Yes,0.6568,High,Compensation,0.0228,0.9772,0.0,0.0
721,39,Research & Development,Healthcare Representative,4553,No,0.0018,Low,N/A,0.0187,0.8921,0.0,0.0892
